Table 1,,,
Geographic Area,"Population, 2020","Population, 2021","Population, 2022"
"Stephens County, Georgia","26,820","26,765","26,767"
"Story County, Iowa","98,645","99,666","99,673"
"Colusa County, California","21,858","21,913","21,914"
"Maverick County, Texas","57,873","57,841","57,843"
"Middlesex County, Massachusetts","1,628,671","1,617,099","1,617,105"
"Candler County, Georgia","11,022","11,000","11,000"
"Pope County, Illinois","3,758","3,770","3,770"
"Randolph County, Indiana","24,409","24,437","24,437"
"Hancock County, Iowa","10,757","10,685","10,685"
"Custer County, Nebraska","10,493","10,476","10,476"
"Keya Paha County, Nebraska",759,787,787
"Carbon County, Pennsylvania","64,744","65,460","65,460"
"Faulk County, South Dakota","2,128","2,126","2,126"
"Jones County, South Dakota",925,884,884
"Sully County, South Dakota","1,452","1,471","1,471"
"San Saba County, Texas","5,722","5,824","5,824"
"Richland County, Ohio","124,962","125,327","125,319"
"Goodhue County, Minnesota","47,575","48,018","48,013"
"Hudson County, New Jersey","721,832","703,447","703,366"
"Washington County, Missouri","23,416","23,444","23,441"
"Jefferson County, Wisconsin","86,193","85,796","85,784"
"O'Brien County, Iowa","14,154","14,062","14,060"
"Van Buren County, Michigan","75,576","75,703","75,692"
"Salt Lake County, Utah","1,186,921","1,186,440","1,186,257"
"Grant County, Wisconsin","51,984","51,285","51,276"
"Tripp County, South Dakota","5,603","5,566","5,565"
"Brown County, Indiana","15,482","15,573","15,570"
"Lyon County, Minnesota","25,170","25,267","25,262"
"Wichita County, Texas","129,617","130,006","129,978"
"Brown County, Ohio","43,671","43,690","43,680"
"Monroe County, Michigan","154,893","155,646","155,609"
"Van Wert County, Ohio","28,919","28,776","28,769"
"Valley County, Nebraska","4,055","4,074","4,073"
"Pierce County, North Dakota","3,968","3,943","3,942"
"Pawnee County, Oklahoma","15,552","15,761","15,757"
"Randolph County, Arkansas","18,590","18,842","18,837"
"Muskegon County, Michigan","175,848","176,612","176,565"
"Doniphan County, Kansas","7,463","7,442","7,440"
"Scott County, Virginia","21,585","21,482","21,476"
"McLean County, Illinois","170,954","171,190","171,141"
"Delaware County, New York","44,221","44,753","44,740"
"Steele County, Minnesota","37,375","37,409","37,398"
"Benton County, Iowa","25,534","25,719","25,711"
"Morgan County, Indiana","71,848","72,260","72,236"
"Andrew County, Missouri","18,098","18,009","18,003"
"Gallatin County, Kentucky","8,672","8,766","8,763"
"Eaton County, Michigan","109,176","109,030","108,992"
"Fillmore County, Nebraska","5,572","5,555","5,553"
"Houston County, Texas","22,055","21,958","21,950"
"Montcalm County, Michigan","66,648","67,458","67,433"
"Scotland County, North Carolina","34,141","34,175","34,162"
"Juniata County, Pennsylvania","23,471","23,348","23,339"
"St Joseph County, Indiana","272,672","272,341","272,234"
"Fayette County, Kentucky","322,613","320,473","320,347"
"Mineral County, West Virginia","26,890","26,866","26,855"
"Scott County, Missouri","38,020","37,856","37,840"
"Wayne County, Pennsylvania","51,151","51,195","51,173"
"Red River County, Texas","11,560","11,547","11,542"
"Garfield County, Oklahoma","62,692","61,947","61,920"
"Carroll County, Ohio","26,697","26,671","26,659"
"Sullivan County, New York","78,605","79,694","79,658"
"Manistee County, Michigan","25,061","25,299","25,287"
"Lincoln County, New Mexico","20,313","20,421","20,411"
"Etowah County, Alabama","103,447","103,139","103,088"
"Mercer County, Ohio","42,526","42,369","42,348"
"Lincoln Parish, Louisiana","48,304","48,153","48,129"
"Marshall County, Iowa","40,093","39,899","39,879"
"Wilkes County, North Carolina","65,904","65,818","65,784"
"Western Connecticut Planning Region, Connecticut","619,146","624,019","623,690"
"Putnam County, Ohio","34,395","34,353","34,334"
"South Central Connecticut Planning Region, Connecticut","569,237","573,562","573,244"
"Adair County, Missouri","25,269","25,179","25,165"
"Pocahontas County, Iowa","7,067","7,057","7,053"
"Allamakee County, Iowa","14,068","13,968","13,960"
"Washington County, Illinois","13,731","13,651","13,643"
"Barnstable County, Massachusetts","228,856","232,594","232,457"
"Kandiyohi County, Minnesota","43,726","43,865","43,839"
"Klamath County, Oregon","69,547","70,255","70,212"
"Howard County, Nebraska","6,484","6,519","6,515"
"Cass County, Texas","28,436","28,557","28,539"
"Osage County, Oklahoma","45,778","45,868","45,839"
"Gooding County, Idaho","15,643","15,725","15,715"
"Adams County, Nebraska","31,177","30,990","30,970"
"Irion County, Texas","1,511","1,531","1,530"
"Montour County, Pennsylvania","18,129","18,103","18,091"
"Schuylkill County, Pennsylvania","142,946","143,201","143,104"
"Sullivan County, Pennsylvania","5,823","5,859","5,855"
"Marshall County, Illinois","11,706","11,686","11,678"
"Van Buren County, Iowa","7,217","7,261","7,256"
"Rockland County, New York","337,394","339,256","339,022"
"Franklin County, Massachusetts","70,930","70,943","70,894"
"Laramie County, Wyoming","100,718","100,794","100,723"
"Vigo County, Indiana","106,119","106,084","106,006"
"Highland County, Ohio","43,359","43,423","43,391"
"Natrona County, Wyoming","80,282","79,660","79,601"
"Iron County, Missouri","9,514","9,421","9,414"
"Osage County, Missouri","13,265","13,409","13,399"
"Shelby County, Indiana","45,058","45,025","44,991"
"Schenectady County, New York","159,315","160,214","160,093"
"Defiance County, Ohio","38,254","38,216","38,187"
"Harvey County, Kansas","33,998","33,827","33,801"
"Fayette County, Iowa","19,445","19,309","19,294"
"Cochise County, Arizona","125,522","125,763","125,663"
"Benton County, Minnesota","41,357","41,496","41,463"
"Champaign County, Illinois","205,629","206,708","206,542"
"Rock County, Wisconsin","163,751","164,192","164,060"
"Lucas County, Iowa","8,620","8,696","8,689"
"Howard County, Indiana","83,588","83,642","83,574"
"Pike County, Indiana","12,247","12,178","12,168"
"Baldwin County, Georgia","43,794","43,671","43,635"
"Columbia County, Pennsylvania","64,682","64,980","64,926"
"Wayne County, New York","91,193","91,201","91,125"
"Jefferson County, Nebraska","7,259","7,160","7,154"
"Boone County, Illinois","53,334","53,199","53,154"
"Elkhart County, Indiana","206,983","207,066","206,890"
"Bennington County, Vermont","37,300","37,424","37,392"
"Caldwell County, North Carolina","80,632","80,561","80,492"
"Essex County, Massachusetts","808,491","807,485","806,765"
"Clark County, Wisconsin","34,667","34,722","34,691"
"Cloud County, Kansas","9,008","8,954","8,946"
"Jackson County, Illinois","52,906","52,666","52,617"
"Russell County, Kentucky","17,995","18,195","18,178"
"Ashland County, Wisconsin","16,018","16,054","16,039"
"Garvin County, Oklahoma","25,645","25,738","25,713"
"Bossier Parish, Louisiana","128,717","129,402","129,276"
"Hardin County, Ohio","30,724","30,446","30,416"
"Fannin County, Georgia","25,434","25,763","25,737"
"Lee County, Mississippi","83,310","83,043","82,959"
"Woodford County, Kentucky","26,902","27,090","27,062"
"Cass County, Indiana","37,791","37,579","37,540"
"Middlesex County, New Jersey","861,314","862,328","861,418"
"Westmoreland County, Virginia","18,508","18,732","18,712"
"Jackson County, Kentucky","12,962","12,987","12,973"
"Noble County, Indiana","47,453","47,419","47,367"
"Lenoir County, North Carolina","55,050","54,693","54,633"
"Franklin County, Kansas","26,008","26,021","25,992"
"Garza County, Texas","5,817","6,269","6,262"
"Harper County, Kansas","5,465","5,329","5,323"
"Coal County, Oklahoma","5,284","5,319","5,313"
"Arapahoe County, Colorado","655,207","656,557","655,808"
"Yell County, Arkansas","20,214","20,152","20,129"
"Fayette County, Indiana","23,362","23,376","23,349"
"McCone County, Montana","1,730","1,711","1,709"
"Clayton County, Iowa","17,030","17,047","17,027"
"Coshocton County, Ohio","36,578","36,614","36,571"
"Clarendon County, South Carolina","30,835","30,950","30,913"
"Grundy County, Iowa","12,334","12,371","12,356"
"Wood County, Wisconsin","74,197","74,085","73,993"
"Jackson County, Michigan","160,225","160,266","160,066"
"Kay County, Oklahoma","43,609","43,724","43,668"
"Plymouth County, Iowa","25,689","25,714","25,681"
"Gage County, Nebraska","21,653","21,611","21,583"
"Jefferson County, Oklahoma","5,325","5,396","5,389"
"Luce County, Michigan","5,336","5,337","5,330"
"St Francois County, Missouri","66,437","67,057","66,969"
"Cimarron County, Oklahoma","2,290","2,255","2,252"
"Putnam County, New York","97,632","98,176","98,045"
"Beauregard Parish, Louisiana","36,600","36,619","36,570"
"Toombs County, Georgia","27,081","26,873","26,837"
"Marshall County, Kentucky","31,685","31,820","31,777"
"Gilpin County, Colorado","5,824","5,899","5,891"
"Columbus County, North Carolina","50,487","49,953","49,885"
"Grand Forks County, North Dakota","73,126","72,512","72,413"
"Prince Edward County, Virginia","21,898","21,957","21,927"
"Woodbury County, Iowa","105,904","105,816","105,671"
"Clackamas County, Oregon","422,444","423,763","423,177"
"Benson County, North Dakota","5,931","5,778","5,770"
"Dubuque County, Iowa","99,291","98,815","98,677"
"Cape May County, New Jersey","95,040","95,768","95,634"
"Carter County, Kentucky","26,607","26,432","26,395"
"Sheridan County, Montana","3,536","3,569","3,564"
"Pontotoc County, Oklahoma","38,087","38,195","38,141"
"Patrick County, Virginia","17,583","17,668","17,643"
"Washington County, Georgia","19,948","19,766","19,738"
"Edgecombe County, North Carolina","48,777","48,370","48,301"
"St Clair County, Michigan","160,375","160,384","160,151"
"Sevier County, Arkansas","15,779","15,709","15,686"
"Franklin County, Kentucky","51,589","51,683","51,607"
"Roberts County, South Dakota","10,250","10,178","10,163"
"Evans County, Georgia","10,790","10,711","10,695"
"Richmond County, North Carolina","42,916","42,842","42,778"
"Owen County, Kentucky","11,304","11,307","11,290"
"Green Lake County, Wisconsin","19,022","19,249","19,220"
"Jackson County, Missouri","717,572","717,616","716,531"
"Morgan County, Ohio","13,756","13,689","13,668"
"Houston County, Minnesota","18,851","18,829","18,800"
"Albany County, New York","313,987","316,301","315,811"
"Gasconade County, Missouri","14,760","14,791","14,768"
"Kiowa County, Oklahoma","8,493","8,358","8,345"
"Rush County, Indiana","16,767","16,699","16,673"
"Henry County, Ohio","27,663","27,555","27,512"
"Wayne County, Mississippi","19,803","19,712","19,681"
"Lackawanna County, Pennsylvania","215,523","215,957","215,615"
"Beckham County, Oklahoma","22,342","22,044","22,009"
"Nottoway County, Virginia","15,639","15,584","15,559"
"Jackson County, West Virginia","27,720","27,761","27,716"
"Bedford County, Pennsylvania","47,569","47,495","47,418"
"Cumberland County, North Carolina","334,391","337,249","336,699"
"Sandusky County, Ohio","58,865","58,763","58,667"
"Trimble County, Kentucky","8,461","8,553","8,539"
"Lake County, Ohio","232,508","232,223","231,842"
"Seminole County, Georgia","9,131","9,142","9,127"
"Dutchess County, New York","295,398","298,039","297,545"
"Kiowa County, Kansas","2,452","2,408","2,404"
"Baraga County, Michigan","8,140","8,291","8,277"
"Harrison County, Iowa","14,564","14,683","14,658"
"Nevada County, Arkansas","8,285","8,195","8,181"
"Wayne County, Tennessee","16,222","16,336","16,308"
"Lewis County, New York","26,551","26,745","26,699"
"Grant County, Nebraska",615,577,576
"Davis County, Iowa","9,112","9,146","9,130"
"Will County, Illinois","695,844","697,985","696,757"
"Pembina County, North Dakota","6,823","6,775","6,763"
"Fairbanks North Star Borough, Alaska","95,328","95,528","95,356"
"McCracken County, Kentucky","67,911","67,612","67,490"
"Hickman County, Kentucky","4,530","4,430","4,422"
"Athens County, Ohio","62,371","59,086","58,979"
"Divide County, North Dakota","2,212","2,191","2,187"
"Oneida County, Wisconsin","37,872","38,282","38,212"
"Livingston County, New York","61,728","61,629","61,516"
"Cumberland County, Illinois","10,429","10,343","10,324"
"McCormick County, South Carolina","9,505","9,782","9,764"
"Mower County, Minnesota","40,054","40,214","40,140"
"Logan County, Kansas","2,743","2,710","2,705"
"Linn County, Iowa","230,411","229,458","229,033"
"Pushmataha County, Oklahoma","10,796","10,789","10,769"
"Titus County, Texas","31,292","31,266","31,208"
"Pittsburg County, Oklahoma","43,784","43,695","43,613"
"Geauga County, Ohio","95,347","95,649","95,469"
"Champaign County, Ohio","38,734","38,782","38,709"
"Cass County, Michigan","51,550","51,501","51,403"
"Tuscola County, Michigan","53,310","53,046","52,945"
"Hood River County, Oregon","23,958","24,094","24,048"
"Gates County, North Carolina","10,448","10,403","10,383"
"Russell County, Alabama","59,259","58,668","58,555"
"Logan County, Ohio","46,106","46,129","46,040"
"Oakland County, Michigan","1,272,413","1,271,891","1,269,431"
"Yamhill County, Oregon","107,931","108,436","108,226"
"Linn County, Missouri","11,852","11,843","11,820"
"Casey County, Kentucky","15,924","15,951","15,920"
"Routt County, Colorado","24,829","25,056","25,007"
"Brooks County, Georgia","16,268","16,285","16,253"
"Bergen County, New Jersey","953,617","954,879","952,997"
"Amite County, Mississippi","12,699","12,644","12,619"
"Coos County, Oregon","64,971","65,119","64,990"
"Pike County, Ohio","27,069","27,059","27,005"
"Franklin County, Alabama","32,075","31,996","31,932"
"Barbour County, West Virginia","15,463","15,445","15,414"
"Otsego County, New York","58,377","60,758","60,636"
"Keokuk County, Iowa","10,012","9,924","9,904"
"Scott County, Iowa","174,596","174,278","173,924"
"Rockbridge County, Virginia","22,645","22,639","22,593"
"Ottawa County, Oklahoma","30,229","30,400","30,338"
"Powell County, Kentucky","13,095","13,110","13,083"
"Providence County, Rhode Island","659,920","658,646","657,288"
"Mason County, Kentucky","17,130","16,965","16,930"
"Tehama County, California","65,682","65,380","65,245"
"Tipton County, Indiana","15,386","15,393","15,361"
"Ziebach County, South Dakota","2,392","2,400","2,395"
"Dawson County, Nebraska","24,086","23,934","23,884"
"Goliad County, Texas","7,021","7,146","7,131"
"Poquoson city, Virginia","12,472","12,609","12,582"
"Page County, Virginia","23,687","23,801","23,750"
"Woodford County, Illinois","38,395","38,210","38,128"
"Decatur County, Georgia","29,324","29,045","28,982"
"Lamoille County, Vermont","25,917","26,147","26,090"
"Taylor County, Georgia","7,819","7,754","7,737"
"Washington County, New York","61,202","60,975","60,841"
"Oglala Lakota County, South Dakota","13,645","13,549","13,519"
"Clark County, Missouri","6,661","6,738","6,723"
"Wabash County, Indiana","30,936","30,897","30,828"
"Marion County, Indiana","976,631","971,647","969,466"
"Marion County, Missouri","28,480","28,502","28,438"
"Darke County, Ohio","51,897","51,645","51,529"
"Ness County, Kansas","2,667","2,651","2,645"
"Snyder County, Pennsylvania","39,727","39,742","39,652"
"Fayette County, Alabama","16,330","16,155","16,118"
"Pittsylvania County, Virginia","60,365","60,090","59,952"
"Anson County, North Carolina","22,033","22,254","22,202"
"Livingston County, Kentucky","8,873","8,984","8,963"
"Redwood County, Minnesota","15,408","15,397","15,361"
"Crenshaw County, Alabama","13,165","13,056","13,025"
"Alpena County, Michigan","28,880","28,916","28,847"
"DeKalb County, Illinois","100,253","100,472","100,232"
"Ogle County, Illinois","51,694","51,474","51,351"
"McLean County, Kentucky","9,134","9,127","9,105"
"Indiana County, Pennsylvania","83,142","83,158","82,957"
"Morris County, Kansas","5,367","5,362","5,349"
"Gunnison County, Colorado","16,945","17,309","17,267"
"Cedar County, Iowa","18,491","18,444","18,399"
"Menominee County, Michigan","23,450","23,323","23,266"
"Edwards County, Illinois","6,208","6,086","6,071"
"Henry County, Indiana","48,903","49,036","48,915"
"Greene County, North Carolina","20,440","20,261","20,211"
"Williams County, Ohio","37,077","36,743","36,652"
"Newport News city, Virginia","186,033","184,764","184,306"
"Sacramento County, California","1,586,465","1,588,106","1,584,169"
"Washington County, Kentucky","12,042","12,091","12,061"
"Dunn County, North Dakota","4,100","4,025","4,015"
"Jim Wells County, Texas","38,877","38,923","38,826"
"Charlton County, Georgia","12,532","12,813","12,781"
"Christian County, Kentucky","72,768","73,221","73,037"
"Delta County, Michigan","36,860","36,834","36,741"
"McLeod County, Minnesota","36,738","36,807","36,714"
"Clayton County, Georgia","297,623","297,318","296,564"
"Love County, Oklahoma","10,159","10,244","10,218"
"Summit County, Ohio","539,792","537,247","535,882"
"Wheeler County, Nebraska",775,787,785
"Black Hawk County, Iowa","131,034","130,606","130,274"
"Lamar County, Alabama","13,956","13,740","13,705"
"Taylor County, Iowa","5,865","5,873","5,858"
"Gogebic County, Michigan","14,346","14,356","14,319"
"White County, Indiana","24,668","24,662","24,598"
"Fulton County, Indiana","20,469","20,380","20,327"
"Montgomery County, Alabama","228,322","226,953","226,361"
"Posey County, Indiana","25,173","25,129","25,063"
"Jasper County, Texas","32,921","32,570","32,484"
"Warren County, New York","65,618","65,773","65,599"
"Graham County, Arizona","38,638","38,882","38,779"
"Swift County, Minnesota","9,804","9,781","9,755"
"Treutlen County, Georgia","6,396","6,382","6,365"
"Stark County, Ohio","374,486","373,659","372,657"
"Lincoln County, Wisconsin","28,429","28,453","28,376"
"Runnels County, Texas","9,919","9,886","9,859"
"Grant County, Indiana","66,475","66,203","66,022"
"Clinton County, Pennsylvania","37,380","38,035","37,931"
"Lincoln County, Kansas","2,948","2,907","2,899"
"Cattaraugus County, New York","76,992","76,650","76,439"
"Bowman County, North Dakota","2,984","2,902","2,894"
"Delaware County, Pennsylvania","576,323","576,772","575,182"
"Bowie County, Texas","92,924","92,291","92,035"
"Boone County, Nebraska","5,359","5,400","5,385"
"Lyon County, Kansas","32,107","31,987","31,898"
"Monroe County, Indiana","139,571","140,135","139,745"
"Polk County, Minnesota","31,083","30,817","30,731"
"Pottawattamie County, Iowa","93,670","93,434","93,173"
"Marshall County, Kansas","10,026","10,010","9,982"
"Imperial County, California","179,595","179,215","178,713"
"Tattnall County, Georgia","24,316","24,132","24,064"
"Maui County, Hawaii","164,760","164,817","164,351"
"Stanislaus County, California","553,217","552,851","551,275"
"Preston County, West Virginia","34,187","34,270","34,172"
"Colfax County, Nebraska","10,557","10,474","10,444"
"Dickinson County, Kansas","18,368","18,483","18,430"
"Manassas city, Virginia","42,692","42,765","42,642"
"Vanderburgh County, Indiana","180,331","180,267","179,744"
"Anderson County, Texas","57,926","58,233","58,064"
"Fairfax County, Virginia","1,148,558","1,141,645","1,138,331"
"Knox County, Missouri","3,739","3,787","3,776"
"Murray County, Oklahoma","13,877","13,712","13,672"
"Freeborn County, Minnesota","30,902","30,808","30,718"
"Falls County, Texas","16,954","17,099","17,049"
"Mitchell County, Iowa","10,588","10,563","10,532"
"Marion County, West Virginia","56,230","56,117","55,952"
"Schoharie County, New York","29,752","30,152","30,063"
"Garland County, Arkansas","100,249","100,386","100,089"
"Monroe County, Wisconsin","46,296","46,246","46,109"
"Hamilton County, Ohio","830,320","827,501","825,037"
"Tom Green County, Texas","120,194","119,250","118,892"
"De Soto Parish, Louisiana","26,838","26,934","26,853"
"Jackson County, Wisconsin","21,096","20,899","20,836"
"Pulaski County, Virginia","33,804","33,808","33,706"
"Woods County, Oklahoma","8,598","8,613","8,587"
"Racine County, Wisconsin","197,536","196,439","195,846"
"Ashland County, Ohio","52,468","52,340","52,181"
"Chouteau County, Montana","5,895","5,916","5,898"
"Summit County, Utah","42,482","43,168","43,036"
"Hampshire County, Massachusetts","146,592","163,088","162,588"
"Cleveland County, Arkansas","7,550","7,490","7,467"
"Anderson County, Kansas","7,843","7,800","7,776"
"Marion County, Oregon","346,339","347,775","346,703"
"Prairie County, Arkansas","8,246","8,094","8,069"
"Brown County, South Dakota","38,222","38,090","37,972"
"Bledsoe County, Tennessee","14,954","14,844","14,798"
"Orange County, California","3,185,516","3,161,005","3,151,184"
"Berrien County, Michigan","154,183","153,377","152,900"
"Fayette County, Ohio","28,971","28,929","28,839"
"Walthall County, Mississippi","13,868","13,804","13,761"
"Wythe County, Virginia","28,312","28,200","28,111"
"Zapata County, Texas","13,874","13,893","13,849"
"Fond du Lac County, Wisconsin","104,150","104,166","103,836"
"Dewey County, Oklahoma","4,474","4,415","4,401"
"Richland Parish, Louisiana","20,032","19,890","19,826"
"Montgomery County, Maryland","1,060,825","1,055,924","1,052,521"
"Clinton County, Ohio","42,023","42,100","41,964"
"Bucks County, Pennsylvania","646,112","647,159","645,054"
"Wayne County, Indiana","66,513","66,490","66,273"
"Estill County, Kentucky","14,161","14,090","14,044"
"Nicholas County, West Virginia","24,554","24,415","24,335"
"Teller County, Colorado","24,747","24,939","24,857"
"Wyoming County, Pennsylvania","26,030","26,100","26,014"
"Mitchell County, Kansas","5,772","5,757","5,738"
"Dodge County, Nebraska","37,110","37,120","36,997"
"Gray County, Texas","21,198","21,085","21,015"
"Sitka City and Borough, Alaska","8,425","8,410","8,382"
"Washington Parish, Louisiana","45,344","45,176","45,025"
"Platte County, Wyoming","8,632","8,674","8,645"
"Kossuth County, Iowa","14,794","14,524","14,475"
"Halifax County, Virginia","33,920","33,758","33,644"
"Adams County, Ohio","27,440","27,513","27,420"
"Huron County, Michigan","31,371","31,354","31,248"
"Obion County, Tennessee","30,767","30,498","30,394"
"Emmet County, Michigan","34,104","34,280","34,163"
"Pleasants County, West Virginia","7,652","7,612","7,586"
"Sonoma County, California","488,281","484,315","482,650"
"Eddy County, North Dakota","2,320","2,322","2,314"
"Piatt County, Illinois","16,674","16,781","16,723"
"Taos County, New Mexico","34,459","34,700","34,580"
"Gadsden County, Florida","43,402","43,554","43,403"
"Danville city, Virginia","42,577","42,376","42,229"
"San Francisco County, California","870,393","811,253","808,437"
"Sumter County, Georgia","29,516","28,978","28,877"
"Big Stone County, Minnesota","5,158","5,162","5,144"
"Keith County, Nebraska","8,325","8,298","8,269"
"Graham County, North Carolina","8,035","8,008","7,980"
"Bailey County, Texas","6,868","6,803","6,779"
"Monmouth County, New Jersey","642,771","646,392","644,098"
"Tyrrell County, North Carolina","3,239","3,377","3,365"
"Cherokee County, Iowa","11,663","11,532","11,491"
"Solano County, California","452,698","450,350","448,747"
"Mahoning County, Ohio","228,005","226,443","225,636"
"Windsor County, Vermont","57,744","58,350","58,142"
"Lee County, Virginia","22,107","22,061","21,982"
"Columbia County, Wisconsin","58,516","58,404","58,193"
"Franklin County, Iowa","9,997","9,952","9,916"
"Yalobusha County, Mississippi","12,443","12,409","12,364"
"Buena Vista city, Virginia","6,621","6,615","6,591"
"Brunswick County, Virginia","15,824","15,979","15,921"
"Macomb County, Michigan","880,176","877,385","874,195"
"Huron County, Ohio","58,485","58,431","58,218"
"Traverse County, Minnesota","3,361","3,287","3,275"
"Bernalillo County, New Mexico","676,803","674,980","672,508"
"Emmons County, North Dakota","3,293","3,262","3,250"
"Stoddard County, Missouri","28,644","28,482","28,377"
"Winston County, Mississippi","17,683","17,608","17,543"
"Starr County, Texas","65,861","65,972","65,728"
"Calhoun County, Florida","13,703","13,514","13,464"
"Williamson County, Illinois","67,113","66,943","66,695"
"San Juan County, New Mexico","121,368","120,866","120,418"
"Grant County, West Virginia","10,988","11,009","10,968"
"Beaufort County, North Carolina","44,690","44,438","44,272"
"Mercer County, New Jersey","386,441","382,116","380,688"
"Craig County, Oklahoma","14,136","14,176","14,123"
"Stafford County, Kansas","4,055","4,008","3,993"
"Jackson County, Iowa","19,452","19,397","19,324"
"Union County, Oregon","26,167","26,276","26,177"
"Manitowoc County, Wisconsin","81,384","81,479","81,172"
"Tallapoosa County, Alabama","41,286","41,132","40,977"
"Holt County, Nebraska","10,113","10,081","10,043"
"Caswell County, North Carolina","22,699","22,701","22,614"
"Chenango County, New York","47,067","46,637","46,458"
"Kenosha County, Wisconsin","169,184","168,465","167,817"
"Washington County, Oregon","601,101","602,494","600,176"
"Petersburg Borough, Alaska","3,405","3,373","3,360"
"Simpson County, Mississippi","25,892","25,686","25,587"
"Lac qui Parle County, Minnesota","6,702","6,715","6,689"
"Kane County, Illinois","516,141","516,183","514,182"
"Bradford County, Pennsylvania","59,969","60,099","59,866"
"Mobile County, Alabama","414,353","413,017","411,411"
"Madison County, Illinois","265,610","264,898","263,864"
"Hampden County, Massachusetts","464,407","462,849","461,041"
"Clinton County, Iowa","46,432","46,526","46,344"
"Walsh County, North Dakota","10,524","10,479","10,438"
"Charles City County, Virginia","6,744","6,631","6,605"
"Somerset County, Pennsylvania","74,016","72,999","72,710"
"Trumbull County, Ohio","201,672","201,444","200,643"
"Lewis County, Kentucky","13,082","13,006","12,954"
"Traill County, North Dakota","7,988","7,990","7,958"
"Bladen County, North Carolina","29,629","29,565","29,446"
"Bond County, Illinois","16,688","16,633","16,566"
"Bureau County, Illinois","33,172","32,961","32,828"
"Jones County, Mississippi","67,163","66,839","66,569"
"Grant County, Minnesota","6,094","6,161","6,136"
"Jefferson County, Iowa","15,693","15,762","15,698"
"Dawson County, Montana","8,923","8,866","8,830"
"Caldwell Parish, Louisiana","9,611","9,593","9,554"
"Jefferson County, Kansas","18,320","18,419","18,344"
"Charlotte County, Virginia","11,541","11,522","11,475"
"Gratiot County, Michigan","41,667","41,269","41,100"
"Mercer County, Illinois","15,627","15,568","15,504"
"Potter County, Pennsylvania","16,385","16,287","16,220"
"McPherson County, Kansas","30,180","30,137","30,012"
"Warren County, North Carolina","18,598","18,791","18,713"
"Bay County, Michigan","103,733","103,251","102,821"
"Newton County, Mississippi","21,255","21,117","21,029"
"Lincoln County, Oregon","50,507","51,026","50,813"
"Andrews County, Texas","18,617","18,411","18,334"
"Moniteau County, Missouri","15,213","15,284","15,220"
"Washington County, Rhode Island","129,757","130,880","130,330"
"Noble County, Oklahoma","10,922","10,942","10,896"
"Campbell County, Virginia","55,625","55,375","55,141"
"Lake County, Illinois","713,251","712,160","709,150"
"Dodge County, Wisconsin","89,353","88,657","88,282"
"Erie County, New York","952,598","954,350","950,312"
"Hamilton County, Iowa","15,008","14,883","14,820"
"Montgomery County, Ohio","537,093","536,169","533,892"
"Hughes County, South Dakota","17,745","17,768","17,692"
"Thayer County, Nebraska","5,019","4,906","4,885"
"Putnam County, Illinois","5,631","5,596","5,572"
"Mifflin County, Pennsylvania","46,144","46,187","45,988"
"Walla Walla County, Washington","62,619","62,158","61,890"
"Guernsey County, Ohio","38,415","38,263","38,098"
"Lycoming County, Pennsylvania","114,108","113,595","113,104"
"Hutchinson County, South Dakota","7,421","7,400","7,368"
"LaSalle Parish, Louisiana","14,822","14,793","14,729"
"Herkimer County, New York","60,024","60,082","59,822"
"Meade County, Kentucky","30,030","30,132","30,001"
"Haakon County, South Dakota","1,870","1,834","1,826"
"Roosevelt County, New Mexico","19,157","19,017","18,934"
"Calhoun County, Michigan","134,184","133,878","133,289"
"Nueces County, Texas","353,376","353,230","351,674"
"Winnebago County, Iowa","10,662","10,664","10,617"
"Corson County, South Dakota","3,891","3,843","3,826"
"Yuma County, Colorado","9,979","9,943","9,899"
"Richland County, Wisconsin","17,272","17,166","17,090"
"Ottawa County, Ohio","40,287","40,156","39,978"
"Madison County, New York","67,927","67,397","67,097"
"Lane County, Oregon","383,279","384,063","382,353"
"Hockley County, Texas","21,503","21,256","21,161"
"De Witt County, Illinois","15,450","15,379","15,310"
"Walker County, Alabama","65,132","64,629","64,339"
"Ashtabula County, Ohio","97,516","97,452","97,014"
"Glacier County, Montana","13,737","13,743","13,681"
"Washington County, Kansas","5,532","5,526","5,501"
"Upshur County, West Virginia","23,813","23,820","23,712"
"Nobles County, Minnesota","22,207","22,047","21,947"
"Sangamon County, Illinois","196,122","195,422","194,534"
"Dickens County, Texas","1,758","1,734","1,726"
"McCulloch County, Texas","7,591","7,532","7,497"
"Calhoun County, Texas","20,063","19,798","19,706"
"Crawford County, Wisconsin","16,084","16,082","16,007"
"Stephens County, Texas","9,098","9,434","9,390"
"Morrow County, Oregon","12,220","12,358","12,300"
"Pawnee County, Nebraska","2,536","2,540","2,528"
"Schuyler County, Missouri","4,010","4,021","4,002"
"Page County, Iowa","15,196","15,215","15,143"
"Montgomery County, Illinois","28,203","28,154","28,020"
"Richmond County, New York","494,586","493,484","491,133"
"Ransom County, North Dakota","5,690","5,667","5,640"
"Oneida County, New York","231,575","229,942","228,846"
"Niagara County, New York","212,125","211,891","210,880"
"Cuming County, Nebraska","9,008","8,972","8,929"
"Shelby County, Illinois","20,924","20,861","20,761"
"Dyer County, Tennessee","36,709","36,586","36,410"
"Stutsman County, North Dakota","21,556","21,591","21,487"
"Cumberland County, New Jersey","153,692","152,089","151,356"
